UG_COD,UG_DESC,UF
153159,ESCOLA DE QUIMICA DA UFRJ,RJ
153160,COORD DOS PROG DE POS-GRAD EM ENGEN DA UFRJ,RJ
153161,FORUM DE CIENCIA E CULTURA DA UFRJ,RJ
153162,MUSEU NACIONAL DA UFRJ,RJ
153163,UNIVERSIDADE FEDERAL DE SANTA CATARINA,SC
153165,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,PE
153166,UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,RJ
154034,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,RJ
154039,FUNDACAO UNIVERSIDADE DO AMAZONAS,AM
154040,FUNDACAO UNIVERSIDADE DE BRASILIA - FUB,CO
154041,FUNDACAO UNIVERSIDADE DO MARANHAO,MA
154044,FUNDACAO UNIVERSIDADE FEDERAL DO ACRE,AC
154045,FUNDACAO UNIVERSIDADE FEDERAL DE MATO GROSSO,MT
154048,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUI,PI
154050,FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE,SE
154054,FUNDACAO UNIVERS.FED. DE MATO GROSSO DO SUL,MS
154055,FUNDACAO UNIVERSIDADE FEDERAL DE RONDONIA,RO
154080,UNIVERSIDADE FEDERAL DE RORAIMA,RR
154106,HOSPITAL UNIVERSITARIO DE BRASILIA - HUB,CO
154215,FUNDACAO UNIVERSIDADE FEDERAL DO AMAPA,AP
154357,HOSPITAL UNIVERSITARIO MARIA AP. PEDROSSIAM,AP
154358,UTFPR - CAMPUS CURITIBA,SL
154419,FUNDACAO UNIVERSIDADE FEDERAL DO TOCANTINS,TO
154582,INST FED RN / CAMPUS SÃO GONÇALO DO AMARANTE,RN
155001,HOSPITAL DE CLINICAS DE PORTO ALEGRE,SL
158009,INSTITUTO FEDERAL DO PARANA,PA
158092,UNIVERSIDADE FEDERAL DO RECONCAVO DA BAHIA,BA
158099,INST.FED.DE EDUC.,MG
158121,INST.FED.DE EDUC.,MG
158122,INST.FED.DE EDUC.,MG
158123,INST FED EDUC CIENCIA TECNOL SUDESTE MG,MG
158126,INST.FED.DE EDUC.,RS
158127,INST.FED.DE EDUC.,RS
158128,INST.FED.DE EDUC.,MA
158129,INST.FED.DE EDUC.,BA
158131,INSTITUTO FED. DE EDU.CIE.TEC.DO TOCANTINS,TO
158132,INST.FED.DE EDUC.,MS
158133,INST.FED.DE EDUC.,CE
158134,INST.FED.DE EDUC.,SE
158135,INST.FED.DE EDUC.,PA
158136,INST.FED.DE EDUC.,PE
158137,INST.FED.DE EDUC.,MG
